text,day,weekday,month,year,text_nt,day_bool,month_bool,year_bool,day_match,month_match,year_match,match
يوم الخميس الثالث من شهر ربيع الأول [...] وستماية,3,Yawm al-khamis,3.0,660-676,"['يوم', 'الخميس', 'الثالث', 'من', 'شهر', 'ربيع', 'الاول', '.', '.', '.', 'وستماية']",False,False,False,,,,
الجمعة تاسع عشرين شهر رجب الأصم سنة سبع وثمانين وثمانماية,29,Yawm al-juma,7.0,887,"['الجمعة', 'تاسع', 'عشرين', 'شهر', 'رجب', 'الاصم', 'سنة', 'سبع', 'وثمانين', 'وثمانماية']",False,False,True,,,887.0,"<re.Match object; span=(0, 58), match=' الجمعة تاسع عشرين شهر رجب الاصم سنة سبع وثمانين >"
يوم الثلاثاء السبع من صفر من عام ستة وثلاثين وسبع ماية,7,Yawm al-thalatha,2.0,736,"['يوم', 'الثلاثاء', 'السبع', 'من', 'صفر', 'من', 'عام', 'ستة', 'وثلاثين', 'وسبع', 'ماية']",False,True,False,,2,,"<re.Match object; span=(0, 33), match=' يوم الثلاثاء السبع من صفر من عام'>"
لثلاث إن بقين من شهر ربيع الأول سنة سبع وأربعين وستماية,27,,3.0,647,"['لثلاث', 'ان', 'بقين', 'من', 'شهر', 'ربيع', 'الاول', 'سنة', 'سبع', 'واربعين', 'وستماية']",False,True,True,,3,647.0,"<re.Match object; span=(0, 56), match=' لثلاث ان بقين من شهر ربيع الاول سنة سبع واربعين >"
يوم الثلاثاء ثالث عشري شهر ربيع الأول سنة ثلاث وأربعين وسبعماية,23,Yawm al-thalatha,3.0,743,"['يوم', 'الثلاثاء', 'ثالث', 'عشري', 'شهر', 'ربيع', 'الاول', 'سنة', 'ثلاث', 'واربعين', 'وسبعماية']",False,True,True,13.0,3,743.0,"<re.Match object; span=(0, 64), match=' يوم الثلاثاء ثالث عشري شهر ربيع الاول سنة ثلاث و>"
سادس ذي الجحة سنة سبع وثلاثين وسبعمية,6,,12.0,737,"['سادس', 'ذي', 'الجحة', 'سنة', 'سبع', 'وثلاثين', 'وسبعمية']",False,False,True,,,737.0,"<re.Match object; span=(0, 38), match=' سادس ذي الجحة سنة سبع وثلاثين وسبعمية'>"
يوم الثلاثاء ثالث عشري من شهر ربيع الأول سنة ثلاث وأربعين وسبعمية,23,Yawm al-thalatha,3.0,743,"['يوم', 'الثلاثاء', 'ثالث', 'عشري', 'من', 'شهر', 'ربيع', 'الاول', 'سنة', 'ثلاث', 'واربعين', 'وسبعمية']",False,True,True,13.0,3,743.0,"<re.Match object; span=(0, 66), match=' يوم الثلاثاء ثالث عشري من شهر ربيع الاول سنة ثلا>"
خمس وتسعين وأربع ماية,,,,495,"['خمس', 'وتسعين', 'واربع', 'ماية']",False,False,False,,,,
ليلة السبت السادس عشر من جمادى الأخيرة سنة أربع عشرة وسبعمية,16,Yawm al-sabt,6.0,714,"['ليلة', 'السبت', 'السادس', 'عشر', 'من', 'جمادى', 'الاخيرة', 'سنة', 'اربع', 'عشرة', 'وسبعمية']",False,False,True,,,714.0,"<re.Match object; span=(0, 61), match=' ليلة السبت السادس عشر من جمادى الاخيرة سنة اربع >"
يوم الأحد سادس عشري شهر محرم سنة أربع عشرة وسبعماية,26,Yawm al-ahad,1.0,714,"['يوم', 'الاحد', 'سادس', 'عشري', 'شهر', 'محرم', 'سنة', 'اربع', 'عشرة', 'وسبعماية']",False,True,True,16.0,1,714.0,"<re.Match object; span=(0, 52), match=' يوم الاحد سادس عشري شهر محرم سنة اربع عشرة وسبعم>"
أول جمادى الأولى سنة سبع وسبعين وخمساية,1,,5.0,577,"['اول', 'جمادى', 'الاولى', 'سنة', 'سبع', 'وسبعين', 'وخمساية']",False,True,False,,5,77.0,"<re.Match object; span=(0, 32), match=' اول جمادى الاولى سنة سبع وسبعين'>"
ليلة منتصف ربيع الآخر سنة ست عشرة وسبعماية,15,,4.0,716,"['ليلة', 'منتصف', 'ربيع', 'الاخر', 'سنة', 'ست', 'عشرة', 'وسبعماية']",False,True,True,,4,716.0,"<re.Match object; span=(0, 43), match=' ليلة منتصف ربيع الاخر سنة ست عشرة وسبعماية'>"
ليلة السبت المسفر صباحها عن تاسع عشري جمادى الآخرة من سنة ثلاث وأربعين وسبعمية,29,Yawm al-sabt,6.0,743,"['ليلة', 'السبت', 'المسفر', 'صباحها', 'عن', 'تاسع', 'عشري', 'جمادى', 'الاخرة', 'من', 'سنة', 'ثلاث', 'واربعين', 'وسبعمية']",False,True,True,19.0,6,743.0,"<re.Match object; span=(0, 79), match=' ليلة السبت المسفر صباحها عن تاسع عشري جمادى الاخ>"
يوم الخميس حادي عشرين جمادى [سنة ست وتسعين وخمسماية,21,Yawm al-khamis,5.0,596,"['يوم', 'الخميس', 'حادي', 'عشرين', 'جمادى', 'سنة', 'ست', 'وتسعين', 'وخمسماية']",False,False,True,,,596.0,"<re.Match object; span=(0, 51), match=' يوم الخميس حادي عشرين جمادى سنة ست وتسعين وخمسما>"
ست وتسعين وخمسماية,,,,596,"['ست', 'وتسعين', 'وخمسماية']",False,False,False,,,,
