token,tokenized,lemma,ne_label,pos
موسى,موسى,مُوسَى,B-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
ماخوخ,ماخوخ,ماخوخ,I-PERS,noun_prop
المغربي,المغربي,مَغْرِبِيّ,O,adj
المقرئ,المقرئ,مُقْرِئ,B-PERS,noun_prop
.,.,.,O,punc
كان,كان,كان,O,verb
ماهرا,ماهرا,ماهِر,O,adj
في,في,فِي,O,prep
القراات,القراات,القراات,O,noun_prop
اخذها,أخذها,أَخْذ,O,noun
عن,عن,عَن,O,prep
الوهري,الوهري,الوهري,B-PERS,noun_prop
واخذها,و+_آخذها,أَخَذ,O,verb
عنه,عنه,عَن,O,prep
جماعة,جماعة,جَماعَة,O,noun
،,،,،,O,punc
مات,مات,مات,O,verb
سنة,سنة,سَنَة,O,noun
اثنتين,ٱثنتين,ٱِثْنَتانِ,O,adj
وسبعين,و+_سبعين,سَبْع,O,noun
.,.,.,O,punc
ترجمه,ترجمه,تَرْجَم,O,verb
لي,لي,لِ,B-PERS,prep
زروق,زروق,زُرُوق,B-PERS,noun_prop
.,.,.,O,punc
