"tokens","lemmas","ne_labels","pos"
"زينب","زَيْنَب","B-PERS","noun_prop"
"ابنة","ٱِبْنَة","I-PERS","noun_prop"
"القاضي","قاضِي","I-PERS","noun_prop"
"الكمال","كَمال","I-PERS","noun_prop"
"أبي","أَب","I-PERS","noun_prop"
"الفضل","فَضْل","I-PERS","noun_prop"
"محمد","مُحَمَّد","I-PERS","noun_prop"
"بن","بِن","I-PERS","noun_prop"
"أحمد","أَحْمَد","I-PERS","noun_prop"
"بن","بِن","I-PERS","noun_prop"
"عبد","عَبْد","I-PERS","noun_prop"
"العزيز","عَزِيز","I-PERS","noun_prop"
"أم","أَم","I-PERS","noun_prop"
"السعد","سَعْد","I-PERS","noun_prop"
"الهاشمي","هاشِمِيّ","I-PERS","noun_prop"
"النويرى","النويري","I-PERS","noun_prop"
"المكي","مَكِّيّ","O","noun_prop"
"أمها","أُمّ","O","noun"
"أم","أَم","B-PERS","noun_prop"
"الحسين","حُسَيْن","I-PERS","noun_prop"
"ابنة","ٱِبْنَة","I-PERS","noun_prop"
"القاضي","قاضِي","I-PERS","noun_prop"
"شهاب","شِهاب","I-PERS","noun_prop"
"الدين","دِين","I-PERS","noun_prop"
"الطبري","طَبَرِيّ","I-PERS","noun_prop"
".",".","O","punc"
"ولدت","وَلَد","O","verb"
"سنة","سَنَة","O","noun"
"خمس","خَمْس","O","adj"
"و+_ستين","سِتّ","O","noun"
"و+_سبعمائة","سَبْعمائَة","O","noun"
"ب+_مكة","مَكَّة","B-LOC","noun_prop"
"و+_سمعت","سَمِع","O","verb"
"من","مِن","O","prep"
"الكمال","كَمال","B-PERS","noun"
"بن","بِن","I-PERS","noun_prop"
"حبيب","حَبِيب","I-PERS","noun_prop"
"،","،","O","punc"
"و+_أجاز","أَجاز","O","verb"
"لها","لِ","O","prep"
"الصلاح","صَلاح","B-PERS","noun_prop"
"ابن","ٱِبْن","I-PERS","noun_prop"
"أبي","أَب","I-PERS","noun_prop"
"عمر","عُمَر","I-PERS","noun_prop"
"بن","بِن","I-PERS","noun_prop"
"أميله","مَيَّل","I-PERS","noun_prop"
"و+_ابن","ٱِبْن","B-PERS","noun_prop"
"النجم","نَجْم","I-PERS","noun_prop"
"و+_آخرون","آخَر","O","adj"
"و+_احتفلت","ٱِحْتَفَل","O","verb"
"أمها","أُمّ","O","noun"
"ب+_جهازها","جِهاز","O","noun"
"جدا","جِدّ","O","noun"
"و+_تزوجها","تَزَوَّج","O","verb"
"و+_هي","هِيَ","O","pron"
"بكر","بَكْر","O","adv"
"المحب","مُحِبّ","B-PERS","noun_prop"
"محمد","مُحَمَّد","I-PERS","noun_prop"
"بن","بِن","I-PERS","noun_prop"
"أحمد","أَحْمَد","I-PERS","noun_prop"
"بن","بِن","I-PERS","noun_prop"
"الرضى","رِضَى","I-PERS","noun"
"الطبري","طَبَرِيّ","I-PERS","adj"
"ثم","ثُمَّ","O","adv"
"فارقها","فارِق","O","noun"
"بعد","بُعْد","O","noun"
"أن","أَنَّ","O","conj_sub"
"ولدت","وَلَد","O","verb"
"له","لِ","O","prep"
"ابنة","ٱِبْنَة","O","noun"
"،","،","O","punc"
"و+_تزوجها","تَزَوَّج","O","verb"
"عبد","عَبْد","B-PERS","noun_prop"
"الرحمن","رَحْمٰن","I-PERS","noun_prop"
"بن","بِن","I-PERS","noun_prop"
"العفيف","عَفِيف","I-PERS","noun_prop"
"اليافعي","اليافعي","I-PERS","noun_prop"
"ثم","ثُمَّ","O","adv"
"فارقها","فارِق","O","noun"
"بعد","بُعْد","O","noun"
"أشهر","شَهْر","O","noun"
"و+_هي","هِيَ","O","pron"
"حامل","حامِل","O","noun"
"ف+_ولدت","وَلَد","O","verb"
"له","لِ","O","prep"
"أم","أَم","B-PERS","conj"
"الحسين","حُسَيْن","I-PERS","noun_prop"
"و+_تزوجها","تَزَوَّج","O","verb"
"الجمال","جَمال","B-PERS","noun"
"بن","بِن","I-PERS","noun_prop"
"ظهيرة","ظَهِيرَة","I-PERS","noun"
"ف+_ولدت","وَلَد","O","verb"
"له","لِ","O","prep"
"و+_مآت","مَأْتَى","O","noun"
"معها","مَع","O","prep"
".",".","O","punc"
"و+_كانت","كان","O","verb"
"رئيسة","رَئِيس","O","noun"
"عاقلة","عاقِل","O","adj"
"تقرا","أَقَرّ","O","verb"
"القرآن","قُرْآن","O","noun_prop"
"و+_تذاكر","تَذْكَرَة","O","noun"
"ب+_أخبار","خَبَر","O","noun"
"و+_أشعار","شِعْر","O","noun"
"حسنة","حَسَن","O","noun"
"و+_زارت","زار","O","verb"
"المدينة","مَدِينَة","B-LOC","noun"
"مرارا","مِرار","O","noun"
"و+_كانت","كان","O","verb"
"ناظرة","ناظِر","O","noun"
"على","عَلَى","O","prep"
"أوقاف","وَقْف","O","noun"
"والدتها","والِد","O","noun"
".",".","O","punc"
"ماتت","مات","O","verb"
"ب+_مكة","مَكَّة","B-LOC","noun_prop"
"في","فِي","O","prep"
"ربيع","رَبِيع","O","noun_prop"
"الأول","أَوَّل","O","adj"
"سنة","سَنَة","O","noun"
"ثلاث","ثَلاث","O","adj"
"و+_عشرين","عِشْرُون","O","noun"
".",".","O","punc"
"ذكرها","ذِكْر","O","noun"
"الفاسي","فاسِيّ","B-PERS","noun_prop"
"و+_قال","قال","O","verb"
"أنها","أَنَّ","O","conj_sub"
"أخت","أُخْت","O","noun"
"والدته","والِد","O","noun"
"ل+_أبيها","أَب","O","noun"
"رحمها","رَحِم","O","verb"
"الله","اللَّه","B-MISC","noun_prop"
".",".","O","punc"
